// 20k words/01
的	de5
福气	fu2qi5
还原	huan2yuan2
诗集	shi1ji2
岳	yue4
// 20k words/12
一天到晚	yi1tian1-dao4wan3
中将	zhong1jiang4
大头	da4tou2
反对党	fan3dui4dang3
立志	li4zhi4
忙于	mang2yu2
炮火	pao4huo3
贪婪	tan1lan2
徐徐	xu2xu2
浏览	liu2lan3
香气	xiang1qi4
院落	yuan4luo4
遍地	bian4di5
存量	cun2liang4
独家	du2jia1
轰轰烈烈	hong1hong1-lie4lie4
祭祀	ji4si4
鉴别	jian4bie2
破烂	po4lan4
抢占	qiang3zhan4
视频	shi4pin2
西亚	Xi1 Ya4
虚构	xu1gou4
住户	zhu4hu4
骚扰	sao1rao3
事前	shi4qian2
复议	fu4yi4
回复	hui2fu4
集成电路	ji2cheng2 dian4lu4
蜜	mi4
牧师	mu4shi5
盆地	pen2di4
去处	qu4chu4
天使	tian1shi3
西红柿	xi1hong2shi4
相邻	xiang1lin2
支票	zhi1piao4
鞭子	bian1zi5
穿梭	chuan1suo1
工业品	gong1ye4pin3
工业区	gong1ye4qu1
紧跟	jin3gen1
枯竭	ku1jie2
莲花	lian2hua1
公馆	gong1guan3
欢庆	huan1qing4
客观上	ke4guan1shang4
内陆	nei4lu4
骗子	pian4zi5
评判	ping2pan4
破碎	po4sui4
千古	qian1gu3
切身	qie4shen1
小分队	xiao3fen1dui4
寻觅	xun2mi4
执著	zhi2zhuo2
执着	zhi2zhuo2
专利权	zhuan1li4quan2
遍及	bian4ji2
沉淀	che2dian4
光滑	guang1hua2
国歌	guo2ge1
坚硬	jian1ying4
讲授	jiang3shou4
界线	jie4xian4
口音	kou3yin1
铃声	ling2sheng1
盘算	pan2suan5
时评	shi2ping2
乘势	cheng2shi4
老太爷	lao3tai4ye2
路径	lu4jing4
受苦	shou4ku3
相貌	xiang4mao4
有病	you3bing4
自治县	zi4zhi4xian4
走势	zou3shi4
背叛	bei4pan4
大字报	da4zi4bao4
工序	gong1xu4
卦	gua4
假装	jia3zhuang1
粮油	liang2you2
新药	xin1yao4
选购	xuan3gou4
招待所	zhao1dai4suo3
氏族	shi4zu2
倒塌	dao3ta1
放声	fang4sheng1
付款	fu4kuan3
宫殿	gong1dian4
胡乱	hu2luan4
强奸	qiang2jian1
实战	shi2zhan4
书桌	shu1zhuo1
术语	shu4yu3
音乐家	yin1yue4 jia1
瘾	yin3
琢磨	zuo2mo5
编剧	bian1ju4
店主	dian4zhu3
断绝	duan4jue2
叫喊	jiao4han3
举止	ju3zhi3
撵	nian3
新郎	xin1lang2
再有	zai4 you3
大婶儿	da4shen3r5
后继	hou4ji4
家用	jia1yong4
连续性	lian2xu4xing4
随行	sui2xing2
索取	suo3qu3
无条件	wu2tiao2jian4
迎合	ying2he2
作声	zuo4sheng1
做声	zuo4sheng1
奥秘	ao4mi4
电车	dian4che1
烦躁	fan2zao4
画册	hua4ce4
懒得	lan3de5
水手	shui3shou3
这会儿	zhe4hui4r5
氨	an1
鼻孔	bi2kong3
彩虹	cai3hong2
长廊	chang2lang2
成套	cheng2tao4
从政	cong2zheng4
面条	mian4tiao2
墓地	mu4di4
平房	ping2fang2
清洗	qing1xi3
书架	shu1jia4
松树	song1shu4
稳固	wen3gu4
遗忘	yi2wang4
多种多样	duo1zhong3-duo1yang4
风雪	feng1xue3
经得起	jing1de5qi3
巨变	ju4bian4
流畅	liu2chang4
上周	shang4zhou1
事变	shi4bian4
唾沫	tuo4mo5
陷于	xian4yu2
圆形	yuan2xing2
真空	zhen1kong1
指向	zhi3xiang4
主业	zhu3ye4
并肩	bing4jian1
出嫁	chu1jia4
澄	cheng2
扶助	fu2zhu4
篮子	lan2zi5
犁	li2
期满	qi1man3
运力	yun4li4
但见	dan4jian4
观摩	guan1mo2
讲求	jiang3qiu2
解析	jie3xi1
进修	jin4xiu1
勉励	mian3li4
叔父	shu1fu4
挑衅	tiao3xin4
王府	wang2fu3
应运而生	ying4yun4er2sheng1
炸药	zha4yao4
存储	cun2chu3
高地	gao1di4
各异	ge4yi4
唤醒	huan4xing3
出口额	chu1kou3e2
蹿	cuan1
电线	dian4xian4
红灯	hong2deng1
降水量	jiang4shui3liang4
硫	liu2
秘书处	mi4shu1chu4
声势	sheng1shi4
窒息	zhi4xi1
中层	zhong1ceng2
嚓	cha1
车祸	che1huo4
工艺品	gong1yi4pin3
过往	guo4wang3
劲头	jin4tou2
拒不	ju4bu4
朗诵	lang3song4
漂流	piao1liu2
撬	qiao4
舞厅	wu3ting1
息息相关	xi1xi1-xiang1guan1
选取	xuan3qu3
严防	yan2fang2
阴暗	yin1’an4
营业额	ying2ye4e2
终结	zhong1jie2
抱歉	bao4qian4
锤	chui2
钉子	ding1zi5
反驳	fan3bo2
拱手	gong3shou3
老化	lao3hua4
免征	mian3zheng1
启程	qi2cheng2
甚至于	shen4zhi4yu2
师父	shi1fu5
无名	wu2ming2
凶手	xiong1shou3
转机	zhuan3ji1
赤道	chi4dao4
宾主	bin1zhu3
大吃一惊	da4 chi1 yi4 jing1
聚精会神	ju4jing1 hui4shen2
时政	shi2zheng4
娃子	wa2zi5
义不容辞	yi4bu4rong2ci2
音像制品	yin1xiang4 zhi4pin3
斩首	zhan3shou3
注明	zhu4ming2
总监	zong3jian1
钻石	zuan4shi2
兵器	bing1qi4
乖乖	guai1guai1
解救	jie3jiu4
募集	mu4ji2
齐声	qi2sheng1
深信	shen1xin4
手榴弹	shou3liu2dan4
颜	yan2
质朴	zhi4pu3
厚度	hou4du4
调和	tiao2he2
心意	xin1yi4
逐一	zhu2yi1
就诊	jiu4zhen3
络	luo4
落叶	luo4ye4
驱使	qu1shi3
塔吉克斯坦	Ta3ji2ke4si1tan3
停电	ting2dian4
无端	wu2duan1
榜	bang3
池塘	chi2tang2
督察	du1cha2
辅导员	fu3dao3yuan2
呼啸	hu1xiao4
清静	qing1jing4
爽快	shuang3kuai5
中年人	zhong1nian2ren2
沉静	chen2jing4
简短	jian3duan3
氯	lü4
免除	mian3chu2
珊瑚	shan1hu2
生计	sheng1ji4
售票	shou4piao4
合金	he2jin1
兑换	dui4huan4
固守	gu4shou3
黑影	hei1ying3
弯腰	wan1yao1
已然	yi3ran2
半截	ban4jie2
秤	cheng4
耕耘	geng1yun2
男子汉	nan2zi5han4
排水	pai2shui3
无边	wu2bian1
因果	yin1guo3
专场	zhuan1chang3
观望	guan1wang4
私自	si1zi4
参政	can1zheng4
钓	diao4
分子	fen1zi3
和睦	he2mu4
辑	ji2
匠	jiang4
举足轻重	ju3zu2 qing1zhong4
觉察	jue2cha2
呕吐	ou3tu4
升温	sheng1wen1
引水	yin3shui3
兹	zi1
自如	zi4ru2
自我批评	zi4wo3 pi1ping2
废弃	fei4qi4
分队	fen1dui4
蜂	feng1
顾不上	gu4bu5shang4
狡猾	jiao3hua2
亮丽	liang4li4
名目	ming2mu4
容器	rong2qi4
完好	wan2hao3
刑罚	xing2fa2
珍藏	zhen1cang2
公道	gong1dao4
公诉	gong1su4
过重	guo4zhong4
名次	ming2ci4
球场	qiu2chang3
上衣	shang4yi1
习惯于	xi2guan4 yu2
域名	yu4ming2
正直	zheng4zhi2
案情	an4qing2
动感	dong4gan3
捐资	juan1zi1
指针	zhi3zhen1
暗杀	an4sha1
不善	bu4shan4
弧	hu2
军校	jun1xiao4
山羊	shan1yang2
玩耍	wan2shua3
汹涌	xiong1yong3
归根到底	gui1gen1dao4di3
海事	hai3shi4
好感	hao3gan3
换取	huan4qu3
就近	jiu4jin4
流感	liu2gan3
民法	min2fa3
女郎	nü3lang2
情调	qing2diao4
推理	tui1li3
等同	deng3tong2
高额	gao1e2
绘制	hui4zhi4
脑筋	nao3jin1
思想性	si1xiang3xing4
突变	tu1bian4
王子	wang2zi3
为数	wei2shu4
宣判	xuan1pan4
延误	yan2wu4
有形	you3xing2
复活	fu4huo2
副教授	fu4jiao4shou4
军分区	jun1fen1qu1
搜查	sou1cha2
泄露	xie4lou4
演戏	yan3xi4
衣物	yi1wu4
勇士	yong3shi4
白菜	bai2cai4
摒弃	bing4qi4
对得起	dui4de5qi3
昏迷	hun1mi2
卡通	ka3tong1
叛徒	pan4tu2
呛	qiang1
庆幸	qing4xing4
致死	zhi4si3
对岸	dui4an4
分期	fen1qi1
广义	guang3yi4
归国	gui1guo2
勘查	kan1cha2
塑	su4
相辅相成	xiang1fu3 xiang1cheng2
渲染	xuan4ran3
版面	ban3mian4
除此之外	chu2ci3zhi1wai4
读书人	du2shu1ren2
雇员	gu4yuan2
庆贺	qing4he4
淘	tao2
簇	cu4
褐	he4
击中	ji1zhong4
精辟	jing1pi4
良知	liang2zhi1
评委	ping2wei3
乳房	ru3fang2
胜任	sheng4ren4
丸	wan2
限定	xian4ding4
作证	zuo4zheng4
分泌	fen1mi4
闭幕式	bi4mu4shi4
毫	hao2
喝彩	he4cai3
开张	kai1zhang1
试管	shi4guan3
艺术性	yi4shu4xing4
引渡	yin3du4
中标	zhong4biao1
不合	bu4he2
打官司	da3 guan1si5
国事	guo2shi4
海区	hai3qu1
惊恐	jing1kong3
军舰	jun1jian4
络绎不绝	luo4yi4 bu4 jue2
铜钱	tong2qian2
新居	xin1ju1
战乱	zhan4luan4
阵线	zhen4xian4
指甲	zhi3jia5
儿媳	er2xi2
感知	gan3zhi1
见效	jian4xiao4
留言	liu2yan2
入睡	ru4shui4
授课	shou4ke4
田园	tian2yuan2
弯曲	wan1qu1
校门	xiao4men2
叶片	ye4pian4
忧伤	you1shang1
政企	zheng4qi3
坐标	zuo4biao1
短信	duan3xin4
沐浴	mu4yu4
树干	shu4gan3
细微	xi4wei1
报送	bao4song4
不景气	bu4jing3qi4
荡漾	dang4yang4
继往开来	ji4wang3-kai1lai2
讲演	jiang3yan3
失落	shi1luo4
演示	yan3shi4
愈加	yu4jia1
远程教育	yuan3cheng2 jiao4yu4
高祖	gao1zu3
剪纸	jian3zhi3
解放区	jie3fang4qu1
戒毒	jie4du2
开垦	kai1ken3
冷暖	leng3nuan3
例行	li4xing2
磨难	mo2nan4
揍	zou4
不意	bu4yi4
查封	cha2feng1
出海	chu1hai3
低迷	di1mi2
简要	jian3yao4
裸露	luo3lu4
皮包	pi2bao1
商讨	shang1tao3
头等	tou2deng3
相称	xiang1chen4
野兽	ye3shou4
种群	zhong3qun2
北京时间	Bei3jing1 Shi2jian1
便宜	pian2yi5
卜	bu3
长河	chang2he2
留意	liu2yi4
票据	piao4ju4
全集	quan2ji2
月初	yue4chu1
展品	zhan3pin3
张贴	zhang1tie1
至上	zhi4shang4
编号	bian1hao4
葛	ge2
技工	ji4gong1
简洁	jian3jie2
厉声	li4sheng1
联结	lian2jie2
灭绝	mie4jue2
品味	pin3wei4
狭	xia2
搏	bo2
不可或缺	bu4ke3-huo4que1
广度	guang3du4
经济作物	jing1ji4 zuo4wu4
女兵	nü3bing1
囚	qiu2
日光	ri4guang1
天鹅	tian1e2
外在	wai4zai4
野心	ye3xin1
远东	Yuan3dong1
道士	dao4shi5
雕像	diao1xiang4
机密	ji1mi4
开场	kai1chang3
浓缩	nong2suo1
少不了	shao3bu5liao3
压制	ya1zhi4
增效	zeng1xiao4
挣脱	zheng4tuo1
沉闷	chen2men4
迟早	chi2zao3
关口	guan1kou3
羁押	ji1ya1
傻瓜	sha3gua1
实有	shi2you3
悬念	xuan2nian4
加班	jia1ban1
结识	jie2shi2
盘旋	pan2xuan2
深邃	shen1sui4
学识	xue2shi2
分会	fen1hui4
青蛙	qing1wa1
特派员	te4pai4yuan2
隐约	yin3yue1
轧	ya4
钓鱼	diao4yu2
即位	ji2wei4
敏捷	min3jie2
想见	xiang3jian4
姨妈	yi2ma1
读本	du2ben3
黄瓜	huang2gua1
检阅	jian3yue4
泪珠	lei4zhu1
明朗	ming2lang3
新意	xin1yi4
与众不同	yu3zhong4-bu4tong2
澡	zao3
出厂	chu1chang3
东边	dong1bian1
方位	fang1wei4
概	gai4
干流	gan4liu2
口腔	kou3qiang1
捻	nian3
前程	qian2cheng2
燃气	ran2qi4
相待	xiang1dai4
高梁	gao1liang2
毫升	hao2sheng1
机能	ji1neng2
吉尔吉斯斯坦	Ji2er3ji2si1si1tan3
军工	jun1gong1
问及	wen4ji2
峡	xia2
发亮	fa1liang4
贵宾	gui4bin1
军国主义	jun1guo2zhu3yi4
满身	man3shen1
屈服	qu1fu2
小院儿	xiao3'yuan4'er2
修好	xiu1hao3
蘸	zhan4
主力军	zhu3li4jun1
专业户	zhuan1ye4hu4
转播	zhuan3bo1
扁担	bian3dan5
层出不穷	ceng2 chu1 bu4 qiong2
好话	hao3hua4
免职	mian3zhi2
齐心协力	qi2xin1 xie2li4
爪	zhua3
珍稀	zhen1xi1
住所	zhu4suo3
电缆	dian4lan2
儿媳妇儿	er2xi2fu5r5
荒漠	huang1mo4
婚事	hun1shi4
偶像	ou3xiang4
市容	shi4rong2
外头	wai4tou5
血压	xue4ya1
征税	zheng1shui4
总管	zong3guan3
定理	ding4li3
后生	hou4sheng1
救命	jiu4ming4
旗号	qi2hao4
憔悴	qiao2cui4
枉	wang3
得天独厚	de2 tian1 du2 hou4
姑姑	gu1gu5
古籍	gu3ji2
鼓动	gu3dong4
嫁接	jia4jie1
领悟	ling3wu4
判定	pan4ding4
启蒙	qi3meng2
黔	qian2
擅长	shan4chang2
少将	shao4jiang4
深造	shen1zao4
晚间	wan3jian1
新婚	xin1hun1
烟囱	yan1cong1
战时	zhan4shi2
周转	zhou1zhuan3
嘈杂	cao2za2
出示	chu1shi4
代为	dai4wei2
管护	guan3hu4
喇嘛	la3ma5
理睬	li3cai3
历年	li4nian2
扭亏	niu3kui1
破解	po4jie3
勤政	qin2zheng4
通话	tong1hua4
形体	xing2ti3
宇航员	yu3hang2yuan2
源源不断	yuan2yuan2 bu4duan4
政治协商会议	zheng4zhi4 xie2shang1 hui4yi4
宝珠	bao3zhu1
编造	bian1zao4
拨打	bo1da3
博得	bo2de2
奋勇	fen4yong3
骨肉	gu3rou4
盘活	pan2huo2
纤	xian1
请假	qing3jia4
劝阻	quan4zu3
严正	yan2zheng4
辨认	bian4ren4
军警	jun1jing3
扣押	kou4ya1
款待	kuan3dai4
拦截	lan2jie2
没法儿	mei2fa3r5
清白	qing1bai2
融化	rong2hua4
收音机	shou1yin1ji1
天明	tian1ming2
耶稣	ye1su1
战火	zhan4huo3
杆子	gan1zi5
花圈	hua1quan1
可操作性	ke3cao1zuo4xing4
棉被	mian2bei4
颇具	po1ju4
奇妙	qi2miao4
躯体	qu1ti3
山野	shan1ye3
西域	Xi1yu4
乡间	xiang1jian1
得主	de2zhu3
老少	lao3shao4
觅	mi4
票房	piao4fang2
平平	ping2ping2
伤残	shang1can2
冰凉	bing1liang2
才干	cai2gan4
代谢	dai4xie4
多多	duo1duo1
分批	fen1pi1
国库	guo2ku4
俗称	su2cheng1
参看	can1kan4
胆怯	dan3qie4
督导	du1dao3
假话	jia3hua4
冷水	leng3shui3
留恋	liu2lian4
美观	mei3guan1
起见	qi3jian4
凸显	tu1xian3
邮政局	you2zheng4ju2
有得	you3de2
照相机	zhao4xiang4ji1
足足	zu2zu2
手工业	shou3gong1ye4
幼虫	you4chong2
安然	an1ran2
毕生	bi4sheng1
谎	huang3
介	jie4
丘陵	qiu1ling2
沙丘	sha1qiu1
山脉	shan1mai4
碎片	sui4pian4
一动不动	yi1 dong4 bu4 dong4
衣襟	yi1jin1
预示	yu4shi4
症结	zheng1jie2
转向	zhuan3xiang4
拌	ban4
撤职	che4zhi2
出奇	chu1qi2
繁育	fan2yu4
过关	guo4guan1
交易所	jiao1yi4suo3
控告	kong4gao4
抡	lun1
民主革命	min2zhu3 ge2ming4
松懈	song1xie4
乌云	wu1yun2
午夜	wu3ye4
小汽车	xiao3qi4che1
用法	yong4fa3
大街小巷	da4jie1-xiao3xiang4
干劲	gan4jin4
公文	gong1wen2
国宝	guo2bao3
一肚子	yi1du4zi5
诊治	zhen3zhi4
自筹	zi4chou2
奔腾	ben1teng2
划定	hua4ding4
枷	jia1
门窗	men2chuang1
年份	nian2fen4
扫荡	sao3dang4
世事	shi4shi4
收成	shou1cheng5
外衣	wai4yi1
辛	xin1
包揽	bao1lan3
搀	chan1
存放	cun2fang4
荷花	he2hua1
坚固	jian1gu4
口罩	kou3zhao4
唯物主义	wei2wu4 zhu3yi4
有空儿	you3kong4r5
主子	zhu3zi5
爱戴	ai4dai4
警觉	jing3jue2
居于	ju1yu2
绝非	jue2fei1
平淡	ping2dan4
贴息	tie1xi1
闻讯	wen2xun4
州长	zhou1zhang3
重现	chong2xian4
估算	gu1suan4
好歹	hao3dai3
间隔	jian4’ge2
解困	jie3kun4
抗灾	kang4zai1
男篮	nan2lan2
疑难	yi2nan2
长发	chang2fa4
创始人	chuang4shi3ren2
分赴	fen1fu4
果子	guo3zi5
僵局	jiang1ju2
恳求	ken3qiu2
人民团体	ren2min2 tuan2ti3
说明书	shuo1ming2shu1
穗	sui4
铁人	tie3ren2
追随	zhui1sui2
资深	zi1shen1
感应	gan3ying4
楼道	lou2dao4
倾诉	qing1su4
瘸	que2
下文	xia4wen2
异性	yi4xing4
重托	zhong4tuo1
波长	bo1chang2
功绩	gong1ji4
环流	huan2liu2
任重道远	ren4 zhong4 dao4 yuan3
摊位	tan1wei4
透视	tou4shi4
自救	zi4jiu4
作坊	zuo1fang5
颠倒	dian1dao3
肝炎	gan1yan2
可取	ke3qu3
流星	liu2xing1
潜心	qian2xin1
全能	quan2neng2
长辈	zhang3bei4
主攻	zhu3gong1
薄荷	bo4he5
忏悔	chan4hui3
当家	dang1jia1
功效	gong1xiao4
供养	gong1yang3
激化	ji1hua4
建筑业	jian4zhu4ye4
降温	jiang4//wen1
微小	wei1xiao3
芯	xin1
召见	zhao4jian4
工作站	gong1zuo4zhan4
集体主义	ji2ti3zhu3yi4
建构	jian4gou4
理直气壮	li3zhi2 qi4zhuang4
领带	ling3dai4
内衣	nei4yi1
年画	nian2hua4
逃脱	tao2tuo1
无益	wu2yi4
新作	xin1zuo4
标明	biao1ming2
横行	heng2xing2
见闻	jian4wen2
硫酸	liu2suan1
面料	mian4liao4
特级	te4ji2
新书	xin1shu1
炎热	yan2re4
驻守	zhu4shou3
不失为	bu4shi1wei2
大帅	da4shuai4
封面	feng1mian4
联谊会	lian2yi4hui4
能干	neng2gan4
乌鸦	wu1ya1
对流	dui4liu2
茶几	cha2ji1
狂热	kuang2re4
吸附	xi1fu4
组团	zu3tuan2
辩解	bian4jie3
红卫兵	Hong2wei4bing1
哗	hua2
怀有	huai2you3
太极	tai4ji2
体贴	ti3tie1
为生	wei2sheng1
文选	wen2xuan3
心血管	xin1xue4guan3
壮举	zhuang4ju3
子公司	zi3gong1si1
哎哟	ai1yo1
驳回	bo2hui2
唱片	chang4pian4
放眼	fang4yan3
牵挂	qian1gua4
荣立	rong2li4
熄灭	xi1mie4
邮电	you2dian4
跋	ba2
标记	biao1ji4
对抗赛	dui4kang4sai4
副官	fu4guan1
红花	hong2hua1
教徒	jiao4tu2
慕	mu4
时间表	shi2jian1biao3
雪地	xue3di4
殷切	yin1qie4
愉悦	yu2yue4
专线	zhuan1xian4
出息	chu1xi1
厨师	chu2shi1
复查	fu4cha2
派驻	pai4zhu4
枪毙	qiang1bi4
三角洲	san1jiao3zhou1
圣经	sheng4jing1
时事	shi2shi4
胎儿	tai1er2
合计	he2ji4
瞧见	qiao2jian4
所有者	suo3you3zhe3
特写	te4xie3
停车场	ting2che1chang3
涂料	tu2liao4
钞	chao1
崇敬	chong2jing4
搭配	da1pei4
废话	fei4hua4
咀嚼	ju3jue2
扑灭	pu1mie4
铅笔	qian1bi3
融为一体	rong2 wei2 yi1ti3
天桥	tian1qiao2
絮	xu4
隐私	yin3si1
总工程师	zong3gong1cheng2shi1
安全感	an1quan2gan3
查验	cha2yan4
船员	chuan2yuan2
惊心动魄	jing1xin1-dong4po4
警卫	jing3wei4
木刻	mu4ke4
同心	tong2xin1
午餐	wu3can1
新诗	xin1shi1
朝气	zhao1qi4
中外合资	Zhong1-wai4 he2zi1
黑板	hei1ban3
奖学金	jiang3xue2jin1
看护	kan1hu4
年华	nian2hua2
气魄	qi4po4
推选	tui1xuan3
爷们儿	ye2men5r5
运算	yun4suan4
白纸	bai2zhi3
惦记	dian4ji4
防备	fang2bei4
费力	fei4li4
看热闹	kan4 re4nao5
烈日	lie4ri4
头号	tou2hao4
下层	xia4ceng2
意象	yi4xiang4
优雅	you1ya3
照常	zhao4chang2
制剂	zhi4ji4
转轨	zhuan3gui3
变幻	bian4huan4
穿行	chuan1xing2
打通	da3tong1
耳光	er3guang1
耗子	hao4zi5
禾	he2
护送	hu4song4
机床	ji1chuang2
假定	jia3ding4
交融	jiao1rong2
叫好	jiao4hao3
空话	kong1hua4
口子	kou3zi5
农用	nong2yong4
聘任	pin3ren4
抒发	shu1fa1
税法	shui4fa3
团体赛	tuan2ti3sai4
五星红旗	wu3 xing1 hong2 qi2
绚丽	xuan4li4
应变	ying4bian4
本省	ben3sheng3
蹭	ceng4
多发	duo1fa1
非得	fei1dei3
腹部	fu4bu4
工作量	gong1zuo4liang4
海里	hai3li3
唬	hu3
技师	ji4shi1
杰作	jie2zuo4
截流	jie2liu2
零星	ling2xing1
契约	qi4yue1
强盛	qiang2sheng4
剃	ti4
遗弃	yi2qi4
政界	zheng4jie4
报答	bao4da2
伯伯	bo2bo5
床头	chuang2tou2
摧残	cui1can2
党总支	dang3zong3zhi1
返还	fan3huan2
刚好	gang1hao3
林立	lin2li4
吗	ma5
失掉	shi1diao4
详尽	xiang2jin4
引诱	yin3you4
芝麻	zhi1ma5
执教	zhi2jiao4
不知所措	bu4 zhi1 suo3 cuo4
差错	cha1cuo4
既而	ji4er2
夹杂	jia1za2
明智	ming2zhi4
木匠	mu4jiang5
申请书	shen1qing3shu1
塑像	su4xiang4
痒	yang3
再接再厉	zai4jie1 zai4li4
造价	zao4jia4
装作	zhuang1zuo4
背离	bei4li2
剧情	ju4qing2
美景	mei3jing3
情境	qing2jing4
胃口	wei4kou3
文教	wen2jiao4
有识之士	you3shi2zhi1shi4
著称	zhu4cheng1
做工作	zuo4 gong1zuo4
沉甸甸	chen2dian4dian4
感性	gan3xing4
会展	hui4zhan3
苦涩	ku3se4
棉袄	mian2'ao3
清明	qing1ming2
伤痕	shang1hen2
屠宰	tu2zai3
洗礼	xi3li3
险情	xian3qing2
行刑	xing2xing2
要位	yao4wei4
逾期	yu2qi1
中立	zhong1li4
转眼	zhuan3yan3
滋润	zi1run4
哀求	ai1qiu2
暴发	bao4fa1
裁军	cai2jun1
服役	fu2yi4
讲学	jiang3xue2
柯	ke1
节制	jie2zhi4
专注	zhuan1zhu4
兴高采烈	xing4 gao1 cai3 lie4
// 20k words/13
呕	ou3
涩	se4
疏忽	shu1hu5
藏书	cang2shu1
渎职	du2zhi2
个案	ge4an4
广为	guang3wei2
横幅	heng2fu2
交战	jiao1zhan4
谅	liang4
轮椅	lun2yi3
蜜蜂	mi4feng1
视力	shi4li4
图纸	tu2zhi3
围困	wei2kun4
协办	xie2ban4
盅	zhong1
重用	zhong4yong4
撤退	che4tui4
愧	kui4
留神	liu2shen2
手套	shou3tao4
调试	tiao2shi4
喜讯	xi3xun4
殷勤	yin1qin2
自然而然	zi4 ran2 er2 ran2
鼻涕	bi2ti4
崇	chong2
冀	ji4
倦	juan4
劳改	lao2gai3
取证	qu3zheng4
入口	ru4kou3
烧伤	shao1shang1
摊子	tan1zi5
以权谋私	yi3quan2-mou2si1
侄儿	zhi2r5
大法	da4fa3
馍	mo2
骗人	pian4ren2
气象台	qi4xiang4tai2
友爱	you3ai4
援引	yuan2yin3
词语	ci2yu3
后头	hou4tou5
狂风	kuang2feng1
售货员	shou4huo4 yuan2
乡土	xiang1tu3
征兵	zheng1bing1
衬衣	chen4yi1
金星	jin1xing1
恋人	lian4ren2
侨眷	qiao2juan4
陶冶	tao2ye3
停业	ting2ye4
凸现	tu1xian4
狭隘	xia2ai4
不符	bu4fu2
佳绩	jia1ji4
接班人	jie1ban1ren2
明晰	ming2xi1
誓言	shi4yan2
酥	su1
中下游	zhong1-xia4you2
泵	beng4
化验	hua4yan4
军团	jun1tuan2
默契	mo4qi4
送达	song4da2
英明	ying1ming2
知识经济	zhi1shi5 jing1ji4
执照	zhi2zhao4
暗自	an4zi4
触犯	chu4fan4
党籍	dang3ji2
睹	du3
棍子	gun4zi5
检举	jian3ju3
精兵	jing1bing1
距今	ju4jin1
劣势	lie4shi4
随口	sui2kou3
蜿蜒	wan1yan2
自语	zi4yu3
罪过	zui4guo4
不实	bu4shi2
趁机	chen4ji1
代表作	dai4biao3zuo4
单身	dan1shen1
底子	di3zi5
奠基	dian4ji1
近邻	jin4lin2
夸奖	kua1jiang3
民事诉讼	min2shi4 su4song4
首选	shou3xuan3
因之	yin1zhi1
主要矛盾	zhu3yao4 mao2dun4
准时	zhun3shi2
长假	chang2jia4
出世	chu1shi4
稻草	dao4cao3
电磁	dian4ci2
繁衍	fan2yan3
供不应求	gong1bu4ying4qiu2
活人	huo2ren2
交情	jiao1qing2
农林	nong2lin2
网页	wang3ye4
威望	wei1wang4
主演	zhu3yan3
自制	zi4zhi4
采摘	cai3zhai1
郊外	jiao1wai4
抢先	qiang3xian1
随同	sui2tong2
写实	xie3shi2
循序渐进	xun2xu4 jian4jin4
一怔	yi1zheng4
育苗	yu4miao2
庵	an1
必由之路	bi4you2zhi1lu4
别致	bie2zhi4
场次	chang3ci4
迟到	chi2dao4
反面	fan3mian4
杠	gang4
棍	gun4
笼子	long2zi5
毛衣	mao2yi1
能耐	neng2nai5
微风	wei1feng1
宇	yu3
重担	zhong4dan4
把戏	ba3xi4
保佑	bao3you4
本意	ben3yi4
敞	chang3
成品	cheng2pin3
承建	cheng2jian4
地热	di4re4
防卫	fang2wei4
飞舞	fei1wu3
家家户户	jia1jia1-hu4hu4
课外	ke4wai4
抨击	peng1ji1
声调	sheng1diao4
诈	zha4
唱戏	chang4xi4
触及	chu4ji2
低级	di1ji2
贵重	gui4zhong4
回味	hui2wei4
屡次	lü3ci4
筛	shai1
说清楚	shuo1 qing1chu5
知晓	zhi1xiao3
中兴	zhong1xing1
铸造	zhu4zao4
诚然	cheng2ran2
大举	da4ju3
当众	dang1zhong4
服气	fu2qi4
畸形	ji1xing2
暖和	nuan3huo5
向导	xiang4dao3
形形色色	xing2xing2 se4se4
竹林	zhu2lin2
部将	bu4jiang4
大拇指	da4mu5zhi3
分红	fen1hong2
高昂	gao1’ang2
日产	ri4chan3
施用	shi1yong4
跃进	yue4jin4
自卫	zi4wei4
组装	zu3zhuang1
作响	zuo4xiang3
傍	bang4
船长	chuan2zhang3
荟萃	hui4cui4
适于	shi4yu2
下榻	xia4ta4
新秀	xin1xiu4
营地	ying2di4
自幼	zi4you4
不适	bu4shi4
订立	ding4li4
合伙	he2huo3
巾帼	jin1guo2
枯燥	ku1zao4
邻里	lin2li3
轮值	lun2zhi2
青草	qing1cao3
显而易见	xian3 er2 yi4 jian4
樱桃	ying1tao2
租金	zu1jin1
半径	ban4jing4
低谷	di1gu3
额外	e2wai4
粪便	fen4bian4
罐头	guan4tou5
画卷	hua4juan4
警车	jing3che1
可不	ke3bu4
来去	lai2qu4
涝	lao4
撒	sa1
寺庙	si4miao4
天线	tian1xian4
现役	xian4yi4
有史以来	you3shi3yi3lai2
贰	er4
精密	jing1mi4
奶妈	nai3ma1
轻重	qing1zhong4
闪亮	shan3liang4
虚弱	xu1ruo4
悬殊	xuan2shu1
纵队	zong4dui4
芭蕾	ba1lei3
濒危	bin1wei1
光纤	guang1xian1
晶莹	jing1ying2
麻醉	ma2zui4
幕后	mu4hou4
女友	nü3you3
情结	qing2jie2
深渊	shen1yuan1
些小	xie1xiao3
